hospital,error_type,invoice_id,planted_line,detail,line_match_before,line_match_after,flagged,category_found,extra_categories,expected_total,original_total,contract_total,total_equals_original,tier,confidence,spillover_in_batch
H1,unit_price_mismatch,INV-H1-000446,H1-L00446-07,price x1.5,exact,exact,1,1,,3016748,3016748,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000777,H1-L00777-05,price x1.5,exact,exact,1,1,,2429769,2429769,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000055,H1-L00055-12,price x0.75,exact,exact,1,1,,2246625,2246625,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000491,H1-L00491-12,price x0.75,exact,exact,1,1,,5588687,5588687,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000204,H1-L00204-06,price x1.5,exact,exact,1,1,,5363858,5363858,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000128,H1-L00128-07,price x0.5,exact,exact,1,1,,3552483,3552483,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000544,H1-L00544-10,price x1.5,exact,exact,1,1,,3185449,3185449,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000787,H1-L00787-01,price x2,strong,strong,1,1,,2059029,2059029,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000192,H1-L00192-10,price x3,exact,exact,1,1,,2836106,2836106,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000746,H1-L00746-10,price x0.75,strong,strong,1,1,,2466869,2466869,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000669,H1-L00669-12,price x1.75,exact,exact,1,1,,4004804,4004804,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000246,H1-L00246-03,price x2,exact,exact,1,1,,5672351,5672351,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000117,H1-L00117-08,price x3,exact,exact,1,1,,1754196,1754196,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000645,H1-L00645-03,price x1.5,exact,exact,1,1,,1936535,1936535,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000390,H1-L00390-10,price x0.5,exact,exact,1,1,,3234713,3234713,,1,F2,0.93,0
